"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0713985720286","23.0541455160744","18.4615384615385","21.4077315827863","23.6390472995639","23.0014170782247","29.1932559609719","25.6552438417698","22.4485978080678","21.4599807082664","25.2979727324237","24.1881366087478","22.7256577550964","21.8615257842592","24.0242836075644","17.8026822621499","14.8076039291948","12.318776358083","","","","","","",
"Afghanistan","AFG","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","13.223147940714","12.9554739317149","14.634150109062","6.50888273869886","4.72223251543153","1.10374992129967","-1.58730400604691","-2.25763029775571","0.161811808370264","1.57728939485908","3.3036806980921","0.24272795357648","3.20333456172708","5.51281714217607","7.9381410375172","8.16900872102086","11.9999976869565","9.25507964507673","10.8417558712148","","","","","","","","","","","","","","","","","","","","","","","","-20.5676697418018","-33.9416352398594","-34.3505252218652","-28.5036797891945","-24.2585857777749","-20.6614942394356","-18.2095366330971","-10.150045561672","-11.6425101778171","-3.84222116553233","3.94327152433855","8.05110239237696","5.34957925125765","3.38477394099792","3.61399814093518","",
"Angola","AGO","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","11.5054150317572","5.48031526170798","17.3107643429339","23.7735090279649","34.4728254016213","40.4699270085405","0","31.5789473684211","31.2925170068027","38.3571744580445","","","","","","57.3177718916808","30.9353117130061","23.4426892921652","19.238796366658","25.2722603055952","41.1590826342339","56.179395896636","43.9475436995546","41.3107722672252","14.7280671639905","33.9146190918125","36.0954945889293","36.7274126388069","31.0074096638511","21.0800306233322","6.11670108439857","9.0423900977164","11.6063365788885",
"Albania","ALB","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","34.9536635020831","36.5893127393101","33.4145285299807","33.4620916071889","29.8170803766379","30.537860535797","30.4985633668858","28.3220189333806","26.0695019990593","28.9545539797364","20.9784396772457","-13.0284682948391","-71.8217607487646","-33.6700241734402","-9.69862695531078","-7.03667027882123","-13.7429994152788","-11.0398982447565","-2.09032943217328","8.0733284110505","16.4285048494174","20.4515799094681","14.8277992289138","12.1033400438521","7.25126456466688","9.90686650023959","9.79495010005168","7.21470126888772","5.08503833697669","7.22454402523274","12.7695728641697","13.7828313434464","13.6846388470876","8.75257914082935","11.0149652235921","8.15784309774686","5.28074484274202","8.55997779756765",
"Andorra","AND","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","34.7810031142176","37.9867168234187","38.9517388901845","41.2081403409838","51.8501309775237","44.8513768476398","43.4096707324237","37.5631627204767","33.3994401697943","37.0771826507783","42.5662037253956","36.7388318684633","27.6925610068197","22.9565373008121","21.8996459685014","19.0919930949007","14.6349797231145","17.2974852110144","17.4929687411986","15.8468027116031","20.9536473667526","9.51534042040573","20.7732953712575","23.258771454375","25.6873875281448","25.754613756625","27.5589889860901","28.1004256939348","23.1483505047122","29.8620140967118","36.6833440031646","33.688884529472","32.605101618832","35.2582715972971","37.0695847794896","41.0946127486289","42.3576597767555","41.3447942642592","44.57487573556","35.0393285492198","39.4764531867047","43.7485348871395","43.0424923326303","40.1009619320878","37.0139567999007","30.0708072528595","28.6897647430335","28.9008738421333",
"United Arab Emirates","ARE","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9565854532803","28.4807835358294","31.6757251533957","30.4913563646076","35.7844526590645","37.0554710361238","33.0636604634516","34.3203184650317","37.4783517643871","41.2488113628078","50.9556064080334","57.4137665335935","55.0075732722818","52.377777822807","52.1911026868636","51.287857064415","52.7688474149951",
"Argentina","ARG","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","20.9635208111813","29.8993071699111","20.7538604757213","17.9866261230352","24.0992491945745","24.5029683743514","22.2057744322725","23.7135673796952","22.771236922337","23.9905970209843","25.305777994677","23.5123079192046","24.251434708636","22.7969816115916","22.8738930645877","29.2862161344304","33.9832323140055","33.2311870612892","30.6931473814079","26.0379662967567","23.8360568071343","22.2402077535743","24.3244480036609","24.203123572929","22.7975016436555","23.0518378887842","19.2996865015374","19.8523077450573","21.9598062343556","21.9935620422646","19.7251979893812","16.2340150185736","15.167803750012","16.6519802736004","16.8913144810441","18.089731205559","18.9745719038875","18.6115161220929","18.4517721712704","16.134493497882","16.8837497745895","16.9317269375234","25.8663382174163","25.3640836424725","24.5538630826976","24.8287466175764","24.3003965721413","24.4794431962016","23.2919032639209","21.117955565887","20.6021673473589","20.0907222034274","18.4511630822258","17.206196676033","17.667044537805","15.9957828960867","16.0727734450585","16.4163425748525",
"Armenia","ARM","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.0749354005168","24.2062994102146","-12.6889970663142","-10.5862161335669","-5.55956135550505","-17.297650748174","-11.5426430527874","-14.4750609827191","-10.9100530731429","-7.95326701421334","-8.93566155741525","-4.83612739021639","0.928261482421966","6.50928354893048","7.35129003167491","13.9510127354511","17.6591597482981","18.1958251200892","18.2008176832666","6.29207700027788","4.93193072186205","3.40334969354773","1.92580711810176","0.894390603713877","2.36696097190211","8.80828526547093","9.24953133265322","8.49224932421592",
"American Samoa","ASM","Gross domestic savings (% of GDP)","NY.GDS.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
