"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Burkina Faso","BFA","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","2111000","2091000","3259000","3797000","3779000","5236000","4678000","5475000","7174000","9203000","22156000","19638000","19771000","18044000","21629000","29463000","36776000","36127000","42710000","38546000","34296000","46388000","33436000","37966000","43589000","48445000","48530000","51435000","54152000","64952000","47489000","38362000","44443000","47153000","52793000","45988000","44734000","42068000","41673000","43615000","48996000","67380000","71047000","78692000","92199000","112087000","121714000","",
"Bangladesh","BGD","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","10213000","27597000","107529000","138808000","142197000","137875000","198841000","238730000","197345000","219725000","213709000","286250000","326759000","434219000","511538000","497641000","512229000","727023000","595966000","528572000","516537000","534325000","751604000","654917000","674559000","620494000","691202000","773328000","666603000","706738000","659150000","653275000","812110000","713814000","1008263000","940568000","1032034000","1128501000","1641634000","1643550000","1913703000","1977206000","1661698000","1776324000","",
"Bulgaria","BGR","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","68070000","158587000","300383000","457893000","1178226000","1553657000","1989462000","2338823000","2580145000","1374476000","275507000","450825000","328176000","687857000","1140132000","1273043000","1013741000","1378838000","1254742000","1281564000","1392106000","1411511000","1131618000","2461203000","4466573000","3740976000","6199986000","5648927000","4870570000","4214328000","4451232000","4664062000","6203670000","5326846000","9464401000","8129699000","",
"Bahrain","BHR","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","171344000","319518000","313326000","178898000","218023000","251877000","310237000","389753000","428041000","477183000","566709000","1490332000","808833000","1049612000","1075036000","1475676000","1754282000","2680189000","",
"Belarus","BLR","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13879000","118191000","181450000","155977000","191197000","201457000","269729000","389676000","338247000","378371000","427485000","384331000","700510000","752544000","1099826000","1397887000","1681537000","1759950000","3253151000","5028594000","4667383000","5353245000","5346509000","5936720000","",
"Belize","BLZ","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","11000","15000","40000","484000","433000","443000","357000","406000","441000","799000","3643000","3923000","6439000","8263000","8659000","17557000","15889000","15783000","16730000","17328000","18283000","16381000","16155000","18098000","24833000","36606000","40282000","39692000","45962000","46938000","77196000","96966000","188655000","153187000","329280000","229091000","138165000","649911000","147272000","125376000","127012000","131187000","154564000","135318000","91956000","94863000","98788000","",
"Bermuda","BMU","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","34451000","35853000","51551000","64382000","82148000","92339000","143583000","174052000","377419000","297908000","370809000","369923000","548734000","466225000","541710000","370899000","256217000","228809000","378468000","298404000","391908000","336468000","294539000","343357000","354485000","378412000","419158000","481611000","439099000","424410000","641372000","550430000","482795000","434843000","521170000","532225000","444131000","742542000","950383000","584817000","655258000","445772000","649222000","551660000","980395000","975573000","775960000","",
"Brazil","BRA","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","767220000","878863000","1203536000","1922823000","3424378000","4356156000","4323127000","5785006000","8462939000","11363508000","14811728000","17928662000","19272375000","13366958000","13771881000","11531357000","11681339000","12023458000","16914251000","14184541000","8223839000","8396000000","8708498000","11296805000","15999573000","21634564000","25280068000","38614184000","51426171000","68188703000","58586698000","50070240000","52046596000","58350699000","53764223000","62905815000","62246198000","55009033000","56543241000","44526678000","45881461000","59070160000","45476567000","82045626000","62169489000","89844549000","117496135000","",
"Barbados","BRB","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Debt service on external debt, total (TDS, current US$)","DT.TDS.DECT.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","2000","3000","6000","33000","28000","153000","516000","1312000","6520000","5212000","7244000","5892000","7124000","7529000","9802000","6919000","7203000","9176000","7348000","7039000","6472000","6606000","7340000","12185000","7100000","10664000","32136000","81572000","75519000","87492000","85420000","130487000","78528000","82653000","128979000","77008000","",
